,album_uri,album_title,uri,song_title,first_artist,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature	
10,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:2wCRJwiL1WSrW0Dwfco7Nj,Know Who You Are,Auli'i Cravalho,"[""Auli'i Cravalho"", 'Vai Mahina', ""Olivia Foa'i"", ""Opetaia Foa'i"", 'Matthew Ineleo']",0.16,0.145,11.0,-20.495,0.0,0.0359,0.941,0.0919,0.103,0.0946,173.443,72627.0,1.0	
11,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:3HAh7a08YVxEyb8BM645bU,We Know The Way - Finale,Lin-Manuel Miranda,"['Lin-Manuel Miranda', ""Opetaia Foa'i""]",0.495,0.839,9.0,-8.744,1.0,0.0529,0.551,7.08e-06,0.0862,0.122,101.08,69120.0,4.0	
12,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:1ehPJRt49h6N0LoryqKZXq,How Far I'll Go - Alessia Cara Version,Alessia Cara,['Alessia Cara'],0.31,0.54,9.0,-9.629,1.0,0.346,0.163,0.000129,0.0713,0.148,180.994,175507.0,4.0	
13,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:4QpGKXfAEIF8TquT7oF4zA,You're Welcome - Jordan Fisher/Lin-Manuel Miranda Version,Jordan Fisher,"['Jordan Fisher', 'Lin-Manuel Miranda']",0.468,0.432,0.0,-10.382,1.0,0.1,0.0613,0.0,0.0533,0.393,101.097,137427.0,3.0	
14,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:44ktOgpXT84F9XUJRWraO7,Prologue,Mark Mancina,['Mark Mancina'],0.356,0.571,4.0,-14.841,0.0,0.0614,0.18,0.857,0.122,0.138,152.588,145440.0,3.0	
15,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:00l9KCQeplWA4aGZWCyfes,He Was You,Mark Mancina,['Mark Mancina'],0.0999,0.0763,11.0,-22.557,0.0,0.035,0.851,0.722,0.0817,0.0357,88.968,50573.0,4.0	
16,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:6e1sTwgUMyVxeHBiiTKHs9,Village Crazy Lady,Mark Mancina,['Mark Mancina'],0.512,0.102,0.0,-27.202,1.0,0.0388,0.975,0.838,0.139,0.295,155.888,45707.0,4.0	
17,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:7G7mCFXQRHxNkbtsZPkNc9,Cavern,Mark Mancina,['Mark Mancina'],0.198,0.069,10.0,-20.872,1.0,0.0389,0.919,0.898,0.104,0.0317,102.348,125293.0,5.0	
18,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:3ZRiCa1ROwlxKftO79ghJ1,The Ocean Chose You,Mark Mancina,['Mark Mancina'],0.223,0.156,0.0,-15.763,0.0,0.0358,0.622,0.921,0.355,0.0352,46.112,77960.0,4.0	
19,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:14sDzaqoSmpyqXkyaDDtyi,The Hook,Mark Mancina,['Mark Mancina'],0.242,0.112,7.0,-22.153,1.0,0.0389,0.938,0.88,0.109,0.0345,83.904,69960.0,4.0	
20,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:59Sww77uD7VwyN0hlMKBWs,Tala's Deathbed,Mark Mancina,['Mark Mancina'],0.193,0.0398,8.0,-18.477,1.0,0.0353,0.939,0.84,0.0678,0.0394,75.691,120880.0,4.0	
21,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:5owH90gSdbZK9Iot4bCrjQ,Battle of Wills,Mark Mancina,['Mark Mancina'],0.521,0.226,7.0,-17.893,0.0,0.059,0.693,0.851,0.112,0.102,116.243,190893.0,4.0	
22,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:3pKRp4NX0YDl1bRANjJLSU,Kakamora,Mark Mancina,['Mark Mancina'],0.33,0.879,1.0,-9.325,1.0,0.135,0.304,0.884,0.165,0.192,84.248,273267.0,4.0	
23,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:2PhptzkiJ8kVQsO7tpRWLS,Wayfinding,Mark Mancina,['Mark Mancina'],0.505,0.422,9.0,-17.394,1.0,0.0529,0.785,0.949,0.0793,0.31,128.044,112373.0,4.0	
24,6pZj4nvx6lV3ulIK3BSjvs,Moana,spotify:track:3KhPDba7BR2uDM7tVep0dg,Climbing,Mark Mancina,['Mark Mancina'],0.693,0.203,2.0,-21.99,1.0,0.0489,0.896,0.914,0.0957,0.176,89.963,54573.0,4.0	
