,imdb_id,title,rating,ratingcount,certificate,genres,gross_ww,gross_domestic,budget,Aged_30_44_rat,Aged_30_44_totrat,US_users_rat,US_users_totrat,Females_rat,Females_totrat,Aged_45plus_rat,Aged_45plus_totrat,Aged_18_29_rat,Aged_18_29_totrat,Males_rat,Males_totrat,Aged_under_18_rat,Aged_under_18_totrat,Non_US_users_rat,Non_US_users_totrat
200,tt0320661,Kingdom of Heaven,7.2,292906,R,"['Action', 'Adventure', 'Drama', 'History', 'War']",218122627,47398413,130000000,7.2,151842,7.3,56408,7.0,28278,7.1,43536,7.5,24430,7.2,199777,7.1,33,7.2,207563
201,tt0089218,The Goonies,7.7,278926,PG,"['Adventure', 'Comedy', 'Family']",64499270,63711145,19000000.0,7.7,122132,8.0,103781,8.0,40411,7.7,50095,7.5,20142,7.6,161209,7.4,103,7.6,147872
202,tt0057652,The Victors,6.9,1628,,"['Drama', 'War']",,,,6.8,253,7.2,529,7.1,110,6.9,950,6.2,23,6.9,1129,,,6.8,895
203,tt1754656,The Little Prince,7.7,63265,PG,"['Animation', 'Adventure', 'Drama', 'Family', 'Fantasy']",97571250,24037389,81200000.0,7.6,26912,7.7,11890,8.0,13384,7.5,5787,7.9,9819,7.6,31974,7.4,53,7.6,47637
204,tt0980970,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.3,157278,PG,"['Adventure', 'Family', 'Fantasy']",415686217,104386950,155000000,6.2,66574,6.4,34259,6.7,32098,6.4,17617,6.2,27578,6.2,84773,6.5,66,6.2,109276
205,tt3501632,Thor: Ragnarok,7.9,759941,PG-13,"['Action', 'Adventure', 'Comedy', 'Fantasy', 'Sci-Fi']",855301806,315058289,180000000,7.8,228627,8.1,201958,8.1,75786,7.7,61693,8.0,108233,7.8,366735,8.1,757,7.8,540771
206,tt1180583,Vaaranam Aayiram,8.2,13354,Not Rated,"['Action', 'Drama', 'Musical', 'Romance']",921007,796297,140000000.0,7.7,3505,8.2,1590,7.4,306,6.0,199,8.6,2173,8.0,6396,7.2,5,8.2,10378
207,tt0082971,Raiders of the Lost Ark,8.4,972963,PG,"['Action', 'Adventure']",389925971,248159971,18000000,8.4,388286,8.8,279607,8.2,94041,8.7,173153,8.3,87747,8.5,587910,8.3,367,8.3,561186
208,tt0435761,Toy Story 3,8.3,842286,G,"['Animation', 'Adventure', 'Comedy', 'Family', 'Fantasy']",1067316101,415004880,200000000,8.4,356262,8.4,206298,8.3,119368,8.1,74508,8.4,128965,8.3,474525,8.3,595,8.2,538117
209,tt0758053,Saawariya,5.2,8048,PG,"['Drama', 'Musical', 'Romance']",18525631,15982236,,5.1,4490,5.4,1321,5.9,1346,5.6,695,5.2,857,5.0,4937,,,5.1,5780
210,tt1216300,Jannat,6.9,6777,Not Rated,"['Crime', 'Drama', 'Romance']",9407362,9088535,2800000,6.6,2949,6.9,856,6.5,254,5.9,153,7.4,1372,6.8,4569,10.0,1,6.9,5238
211,tt1979388,The Good Dinosaur,6.7,118228,PG,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family']",332207671,123087120,200000000.0,6.6,48826,6.6,29860,6.9,18401,6.7,11472,6.7,16952,6.6,64665,6.2,160,6.7,82061
212,tt1321511,Oldboy,5.8,77378,R,"['Action', 'Drama', 'Mystery', 'Thriller']",5186767,2193658,30000000,5.7,37114,5.8,18418,5.7,7025,6.0,12597,5.4,7721,5.8,53491,3.5,16,5.8,54197
