,track_uri,title_track,artist	
206,7FwBtcecmlpc1sLySPXeGE,Dancing In the Dark,Bruce Springsteen	
207,0tgVpDi06FyKpA1z0VMD4v,Perfect,Ed Sheeran	
208,1zwMYTA5nlNjZxYrvBB2pV,Someone Like You,Adele	
209,4wn7cO2iHlWueXGDd4gH9g,Dat heb jij gedaan,MEAU	
210,3gdewACMIVMEWVbyb8O9sY,"Rocket Man (I Think It's Going To Be A Long, Long Time)",Elton John	
211,1IQLFJXaUNVkFI4QzMmrxe,Als Ze Er Niet Is,De Dijk	
212,3ovjw5HZZv43SxTwApooCM,Wind Of Change,Scorpions	
213,4TOMI010Sd4ZAX4aZ5TS85,Perfect Day,Lou Reed	
214,7BbrlQk1YHVjHVyoGEpDV2,Sad Man's Tongue,Volbeat	
215,0dqGfCMAGyDgpUAgLNOjWd,Fade To Black (Remastered),Metallica	
216,25H6P7a94WUr5102lC6TNI,I Want To Break Free,Queen	
217,4UzVcXufOhGUwF56HT7b8M,My Immortal,Evanescence	
218,2nLtzopw4rPReszdYBJU6h,Numb,Linkin Park	
219,5ihS6UUlyQAfmp48eSkxuQ,Landslide,Fleetwood Mac	
220,4xjVfArXNQRxAvsUpjmfMt,The Man with the Child in His Eyes,Kate Bush	
221,0hCB0YR03f6AmQaHbwWDe8,Whole Lotta Love - 1990 Remaster,Led Zeppelin	
222,6PypGyiu0Y2lCDBN1XZEnP,Everybody Hurts,R.E.M.	
223,5ZLkc5RY1NM4FtGWEd6HOE,"Bloed, Zweet En Tranen",Andre Hazes	
224,0rY0wiJbmpy42X0EUtgkd6,Oude Maasweg,The Amazing Stroopwafels	
225,08o75xMKmGrKny6GsXrNJW,Little Lies,Fleetwood Mac	
226,3Lk7RWStfLaHG7lXsuS87j,One,Mary J. Blige	
227,4euAGZTszWPrriggYK0HG9,Lay All Your Love On Me,ABBA	
228,7xGOvQukPKKQVLiJOPSmt0,Don't Let the Sun Go Down on Me,George Michael	
229,762B4bOcXF7I2Y8UlKTyTy,Chiquitita,ABBA	
230,1gl3GmTDG7CO1JI8ILtGcu,The Unforgettable Fire,U2	
231,1jDJFeK9x3OZboIAHsY9k2,I'm Still Standing,Elton John	
232,48iWbsOaBUAGzMdoSmqyg1,Lightning Crashes,Live	
233,6R3yoMTDYDQ6gC6FXLvizz,Leave The Light On,Beth Hart	
234,4rpU5VpYljwxLmGyb6JzbP,Love You More,Racoon	
235,5GorCbAP4aL0EJ16frG2hd,Boulevard of Broken Dreams,Green Day	
236,1cSXzDZt8vzuUp2XREQEJN,Atemlos durch die Nacht,Helene Fischer	
237,4UvG9wlIgh8asCVxjOVH9E,Deurdonderen,Normaal	
238,3UmaczJpikHgJFyBTAJVoz,Stan,Eminem	
239,5z5wYWL1IO6y2yEFBOiGt0,Insomnia,Faithless	
240,1c8gk2PeTE04A1pIDH9YMk,Rolling in the Deep,Adele	
241,5l0mUA4hwewx7cj8KzBGGE,Kronenburg Park,Frank Boeijen Groep	
242,4JiEyzf0Md7KEFFGWDDdCr,Knockin' On Heaven's Door,Guns N' Roses	
243,6IRA4KOVbtiGiTdYoEThJN,Ne me quitte pas,Jacques Brel	
244,6zeE5tKyr8Nu882DQhhSQI,Dust in the Wind,Kansas	
245,7DiNSKlP2d7OiiMNlSeBtb,Iedereen Is Van De Wereld,The Scene	
246,3fOsKEaGwhp9TRgJnrMA2z,Bad - Edit,U2	
247,7hYiX6LMP8w8d0kEc4KWuW,Papillon,Editors	
248,61dTqhd46yMkSWmC5LAh5F,Angel Of Death,Slayer	
249,3ZpWy5rBZv2aLQAldnmTsP,Whiskey In The Jar,Metallica	
250,5SO1xQrOt9JfiLsNmp2Ha8,Zeg Me Dat Het Niet Zo Is,Frank Boeijen	
251,1HmzAZUvhQLhLo2z3ocpZI,Radio Ga Ga - Remastered 2011,Queen	
252,3qLZ866ZfaK0B0R5FIqXLG,She Sells Sanctuary,The Cult	
253,5oSNx87hsjk0Nz0pdQcdct,Voor Haar,Frans Halsema	
254,0DnGfA1r8pAssJCuq4ojla,Still Got The Blues,Gary Moore	
255,1e9EdrGENJHZsICh66Bhng,November,Rowwen HÃ¨ze	
256,37ZJ0p5Jm13JPevGcx4SkF,Livin' On A Prayer,Bon Jovi	
257,6Vjk8MNXpQpi0F4BefdTyq,Kashmir - Remaster,Led Zeppelin	
258,389QX9Q1eUOEZ19vtzzI9O,While My Guitar Gently Weeps - Remastered 2009,The Beatles	
259,4SDywo3ykB2PEthjXvo1UP,I Put A Spell On You,Creedence Clearwater Revival	
260,3fqwjXwUGN6vbzIwvyFMhx,Tennessee Whiskey,Chris Stapleton	
261,1uAOCTevGnyKIDbgZdOCnE,VoilÃ ,Barbara Pravi	
262,0sxYYT48UPkmrDx8p4Hnrl,Run to the Hills - 2015 Remaster,Iron Maiden	
263,14HPLWSrRNhSfxCswERQbw,Ruthless Queen,Kayak	
264,6uWWbsGYJT8d4wvQKqkJEG,Testament,Boudewijn de Groot	
265,4RvWPyQ5RL0ao9LPZeSouE,Everybody Wants To Rule The World,Tears For Fears	
266,2aoo2jlRnM3A0NyLQqMN2f,All Along the Watchtower,Jimi Hendrix	
267,6EPRKhUOdiFSQwGBRBbvsZ,Ace of Spades,MotÃ¶rhead	
268,6OSyCAmXT4Gkd3OQ2aPOaF,Silent Lucidity - Remastered 2003,QueensrÃ¿che	
269,4KFM3A5QF2IMcc6nHsu3Wp,Englishman In New York,Sting	
270,1DIXPcTDzTj8ZMHt3PDt8p,Gangsta's Paradise,Coolio	
271,20OFwXhEXf12DzwXmaV7fj,Bad Moon Rising,Creedence Clearwater Revival	
272,0G21yYKMZoHa30cYVi1iA8,Welcome To The Jungle,Guns N' Roses	
273,3IbkWFHKCQp1Y7oLjeQgGv,Sinds 1 Dag Of 2 (32 Jaar),Doe Maar	
274,3bHhUEOTIbezeZ856R0BX5,Society,Eddie Vedder	
275,0vZzCD8Gy1w6ph5PzLctVo,Mother Earth,Within Temptation	
276,3PzsbWSQdLCKDLxn7YZfkM,I'm On Fire,Bruce Springsteen	
277,3mCeeoBvTTpg8Xy2Wuvirw,Bat Out of Hell,Meat Loaf	
278,4s6LhHAV5SEsOV0lC2tjvJ,California Dreamin' - Single Version,The Mamas & The Papas	
279,2YodwKJnbPyNKe8XXSE9V7,Lithium,Nirvana	
280,2M9ro2krNb7nr7HSprkEgo,Fast Car,Tracy Chapman	
281,11iIeclbEWUhkmLArE9Hr0,Treur Niet (Ode Aan Het Leven),Diggy Dex	
282,4qsAYBCJnu2OkTKUVbbOF1,Free Bird,Lynyrd Skynyrd	
283,6H3S7yQjHn3ErG9o6v7qBs,One Day Like This,Elbow	
284,6NvRxjfYkkT2SpirAlmsjH,No One Knows,Queens of the Stone Age	
285,562JrM9b7jiu8LgzV62x3o,The Rose,Bette Midler	
286,07rjmFuB0I2O1UuIPnu6Qj,Barcelona,Freddie Mercury	
287,383QXk8nb2YrARMUwDdjQS,Psycho,Muse	
